file_name,file_context,similarity_score,output
84-121123-0000,go do you hear,100.0, go do you hear
84-121123-0001,but in less than five minutes the staircase groaned beneath an extraordinary weight,95.70552147239265, but in less than 5 minutes the staircase groaned beneath an extraordinary weight
84-121123-0002,at this moment the whole soul of the old man seemed centred in his eyes which became bloodshot the veins of the throat swelled his cheeks and temples became purple as though he was struck with epilepsy nothing was wanting to complete this but the utterance of a cry,99.81167608286252, at this moment the whole soul of the old man seemed centered in his eyes which became bloodshot the veins of the throat swelled his cheeks and temples became purple as though he was struck with epilepsy nothing was wanting to complete this but the utterance of a cry
84-121123-0003,and the cry issued from his pores if we may thus speak a cry frightful in its silence,100.0, and the cry issued from his pores if we may thus speak a cry frightful in its silence
84-121123-0004,d'avrigny rushed towards the old man and made him inhale a powerful restorative,94.19354838709677, devani rushed towards the old man and made him inhale a powerful restorative
84-121123-0005,d'avrigny unable to bear the sight of this touching emotion turned away and villefort without seeking any further explanation and attracted towards him by the irresistible magnetism which draws us towards those who have loved the people for whom we mourn extended his hand towards the young man,98.46153846153847, davani unable to bear the sight of this touching emotion turned away and villafort without seeking any further explanation and attracted towards him by the irresistible magnetism which draws us towards those who have loved the people for whom we mourn extended his hand towards the young man
84-121123-0006,for some time nothing was heard in that chamber but sobs exclamations and prayers,98.76543209876543, for some time nothing was heard in that chamber but sobbs exclamation and prayers
84-121123-0007,what do you mean sir,100.0, what do you mean sir
84-121123-0008,oh you rave sir exclaimed villefort in vain endeavoring to escape the net in which he was taken i rave,99.01960784313727, oh you rave sir exclaimed villifort in vain endeavoring to escape the net in which he was taken i rave
84-121123-0009,do you know the assassin asked morrel,69.56521739130434, do you know the assassin esmeral
84-121123-0010,noirtier looked upon morrel with one of those melancholy smiles which had so often made valentine happy and thus fixed his attention,96.57794676806084, nautier looked upon morale with one of those melancholy smiles which had so often made valentine happy and thus fixed his attention
84-121123-0011,said morrel sadly yes replied noirtier,77.92207792207793, said morale sadly yes replied no to you
84-121123-0012,the old man's eyes remained fixed on the door,98.87640449438202, the old mans eyes remained fixed on the door
84-121123-0013,asked morrel yes,75.86206896551724, as morale yes
84-121123-0014,must i leave alone no,100.0, must i leave alone no
84-121123-0015,but can he understand you yes,100.0, but can he understand you yes
84-121123-0016,gentlemen he said in a hoarse voice give me your word of honor that this horrible secret shall forever remain buried amongst ourselves the two men drew back,92.94871794871796, gentleman he sat in a horse voice give me your word of honor that this horrible secret shell forever remained buried amongst ourselves the two men drew back
84-121123-0017,my father has revealed the culprit's name my father thirsts for revenge as much as you do yet even he conjures you as i do to keep this secret do you not father,99.68652037617555, my father has revealed the culprits name my father thirsts for revenge as much as you do yet even he conjures you as i do to keep this secret do you not father
84-121123-0018,morrel suffered an exclamation of horror and surprise to escape him,98.52941176470588, morrell suffered an exclamation of horror and surprised to escape him
84-121123-0019,the old man made a sign in the affirmative,100.0, the old man made a sign in the affirmative
84-121123-0020,it was something terrible to witness the silent agony the mute despair of noirtier whose tears silently rolled down his cheeks,94.77911646586345, it was something terrible to witness the silent agony the mute despair of nautier whose tears silently rolled on his cheeks
84-121123-0021,but he stopped on the landing he had not the courage to again visit the death chamber,100.0, but he stopped on the landing he had not the courage to again visit the death chamber
84-121123-0022,the two doctors therefore entered the room alone,100.0, the two doctors therefore entered the room alone
84-121123-0023,noirtier was near the bed pale motionless and silent as the corpse,99.23664122137404, noitier was near the bed pale motionless and silent as the corpse
84-121123-0024,the district doctor approached with the indifference of a man accustomed to spend half his time amongst the dead he then lifted the sheet which was placed over the face and just unclosed the lips,99.23664122137404, the district doctor approached with the indifference of a man accustomed to spend half his time amongst the dead he then lifted the sheet which was placed over the face and just unclosed to the lips
84-121123-0025,the nearest said the district doctor is a good italian abbe who lives next door to you shall i call on him as i pass,98.27586206896551, the nearest said the district doctor is a good italian abay who lives next door to you shall i call on him as i pass
84-121123-0026,d'avrigny said villefort be so kind i beseech you as to accompany this gentleman here is the key of the door so that you can go in and out as you please you will bring the priest with you and will oblige me by introducing him into my child's room do you wish to see him,93.1098696461825, daverne said willefort be so kind i would see you as to accompany this gentleman here is the key of the door so that you can go in and out as you please you will bring the priest with you and will oblige me by introducing him into my childs room do you wish to see him
84-121123-0027,i only wish to be alone you will excuse me will you not,100.0, i only wish to be alone you will excuse me will you not
84-121123-0028,i am going sir and i do not hesitate to say that no prayers will be more fervent than mine,100.0, i am going sir and i do not hesitate to say that no prayers will be more fervent than mine
